==================================================
Task Execution Time : 2026-07-09 14:42:53
Task Identifier     : manual_putney_wandsworth_2014-02-15_0
Requested Target    : 2014-02-15
Actual Capture Date : 2014-02-13
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-0.235), np.float64(51.45), np.float64(-0.17), np.float64(51.4825))
Total Patches Found : 182
--------------------------------------------------
[Original Log Entries]
T13 gesh_65451_84268_18.jpg: 2014-2-13 Ok
T14 gesh_65451_84269_18.jpg: 2014-2-13 Ok
T15 gesh_65451_84270_18.jpg: 2014-2-13 Ok
T16 gesh_65451_84271_18.jpg: 2014-2-13 Ok
T17 gesh_65451_84272_18.jpg: 2014-2-13 Ok
T18 gesh_65451_84273_18.jpg: 2014-2-13 Ok
T19 gesh_65451_84274_18.jpg: 2014-2-13 Ok
T20 gesh_65451_84275_18.jpg: 2014-2-13 Ok
T21 gesh_65451_84276_18.jpg: 2014-2-13 Ok
T22 gesh_65451_84277_18.jpg: 2014-2-13 Ok
T23 gesh_65451_84278_18.jpg: 2014-2-13 Ok
T24 gesh_65451_84279_18.jpg: 2014-2-13 Ok
T25 gesh_65451_84280_18.jpg: 2014-2-13 Ok
T39 gesh_65453_84268_18.jpg: 2014-2-13 Ok
T40 gesh_65453_84269_18.jpg: 2014-2-13 Ok
T41 gesh_65453_84270_18.jpg: 2014-2-13 Ok
T42 gesh_65453_84271_18.jpg: 2014-2-13 Ok
T43 gesh_65453_84272_18.jpg: 2014-2-13 Ok
T44 gesh_65453_84273_18.jpg: 2014-2-13 Ok
T45 gesh_65453_84274_18.jpg: 2014-2-13 Ok
T46 gesh_65453_84275_18.jpg: 2014-2-13 Ok
T47 gesh_65453_84276_18.jpg: 2014-2-13 Ok
T48 gesh_65453_84277_18.jpg: 2014-2-13 Ok
T49 gesh_65453_84278_18.jpg: 2014-2-13 Ok
T50 gesh_65453_84279_18.jpg: 2014-2-13 Ok
T51 gesh_65453_84280_18.jpg: 2014-2-13 Ok
T52 gesh_65454_84268_18.jpg: 2014-2-13 Ok
T53 gesh_65454_84269_18.jpg: 2014-2-13 Ok
T54 gesh_65454_84270_18.jpg: 2014-2-13 Ok
T55 gesh_65454_84271_18.jpg: 2014-2-13 Ok
T56 gesh_65454_84272_18.jpg: 2014-2-13 Ok
T57 gesh_65454_84273_18.jpg: 2014-2-13 Ok
T58 gesh_65454_84274_18.jpg: 2014-2-13 Ok
T59 gesh_65454_84275_18.jpg: 2014-2-13 Ok
T60 gesh_65454_84276_18.jpg: 2014-2-13 Ok
T61 gesh_65454_84277_18.jpg: 2014-2-13 Ok
T62 gesh_65454_84278_18.jpg: 2014-2-13 Ok
T63 gesh_65454_84279_18.jpg: 2014-2-13 Ok
T64 gesh_65454_84280_18.jpg: 2014-2-13 Ok
T65 gesh_65455_84268_18.jpg: 2014-2-13 Ok
T66 gesh_65455_84269_18.jpg: 2014-2-13 Ok
T67 gesh_65455_84270_18.jpg: 2014-2-13 Ok
T68 gesh_65455_84271_18.jpg: 2014-2-13 Ok
T69 gesh_65455_84272_18.jpg: 2014-2-13 Ok
T70 gesh_65455_84273_18.jpg: 2014-2-13 Ok
T71 gesh_65455_84274_18.jpg: 2014-2-13 Ok
T72 gesh_65455_84275_18.jpg: 2014-2-13 Ok
T73 gesh_65455_84276_18.jpg: 2014-2-13 Ok
T74 gesh_65455_84277_18.jpg: 2014-2-13 Ok
T75 gesh_65455_84278_18.jpg: 2014-2-13 Ok
T76 gesh_65455_84279_18.jpg: 2014-2-13 Ok
T77 gesh_65455_84280_18.jpg: 2014-2-13 Ok
T91 gesh_65457_84268_18.jpg: 2014-2-13 Ok
T92 gesh_65457_84269_18.jpg: 2014-2-13 Ok
T93 gesh_65457_84270_18.jpg: 2014-2-13 Ok
T94 gesh_65457_84271_18.jpg: 2014-2-13 Ok
T95 gesh_65457_84272_18.jpg: 2014-2-13 Ok
T96 gesh_65457_84273_18.jpg: 2014-2-13 Ok
T97 gesh_65457_84274_18.jpg: 2014-2-13 Ok
T98 gesh_65457_84275_18.jpg: 2014-2-13 Ok
T99 gesh_65457_84276_18.jpg: 2014-2-13 Ok
T100 gesh_65457_84277_18.jpg: 2014-2-13 Ok
T101 gesh_65457_84278_18.jpg: 2014-2-13 Ok
T102 gesh_65457_84279_18.jpg: 2014-2-13 Ok
T103 gesh_65457_84280_18.jpg: 2014-2-13 Ok
T104 gesh_65458_84268_18.jpg: 2014-2-13 Ok
T105 gesh_65458_84269_18.jpg: 2014-2-13 Ok
T106 gesh_65458_84270_18.jpg: 2014-2-13 Ok
T107 gesh_65458_84271_18.jpg: 2014-2-13 Ok
T108 gesh_65458_84272_18.jpg: 2014-2-13 Ok
T109 gesh_65458_84273_18.jpg: 2014-2-13 Ok
T110 gesh_65458_84274_18.jpg: 2014-2-13 Ok
T111 gesh_65458_84275_18.jpg: 2014-2-13 Ok
T112 gesh_65458_84276_18.jpg: 2014-2-13 Ok
T113 gesh_65458_84277_18.jpg: 2014-2-13 Ok
T114 gesh_65458_84278_18.jpg: 2014-2-13 Ok
T115 gesh_65458_84279_18.jpg: 2014-2-13 Ok
T116 gesh_65458_84280_18.jpg: 2014-2-13 Ok
T117 gesh_65459_84268_18.jpg: 2014-2-13 Ok
T118 gesh_65459_84269_18.jpg: 2014-2-13 Ok
T119 gesh_65459_84270_18.jpg: 2014-2-13 Ok
T120 gesh_65459_84271_18.jpg: 2014-2-13 Ok
T121 gesh_65459_84272_18.jpg: 2014-2-13 Ok
T122 gesh_65459_84273_18.jpg: 2014-2-13 Ok
T123 gesh_65459_84274_18.jpg: 2014-2-13 Ok
T124 gesh_65459_84275_18.jpg: 2014-2-13 Ok
