==================================================
Task Execution Time : 2026-07-09 14:42:05
Task Identifier     : manual_putney_wandsworth_current_0
Requested Target    : current
Actual Capture Date : 2020-04-11
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-0.235), np.float64(51.45), np.float64(-0.17), np.float64(51.4825))
Total Patches Found : 269
--------------------------------------------------
[Original Log Entries]
T13 ges_65451_84268_18.jpg: 2020-04-11 Ok
T14 ges_65451_84269_18.jpg: 2020-04-11 Ok
T15 ges_65451_84270_18.jpg: 2020-04-11 Ok
T16 ges_65451_84271_18.jpg: 2020-04-11 Ok
T17 ges_65451_84272_18.jpg: 2020-04-11 Ok
T18 ges_65451_84273_18.jpg: 2020-04-11 Ok
T19 ges_65451_84274_18.jpg: 2020-04-11 Ok
T20 ges_65451_84275_18.jpg: 2020-04-11 Ok
T21 ges_65451_84276_18.jpg: 2020-04-11 Ok
T22 ges_65451_84277_18.jpg: 2020-04-11 Ok
T23 ges_65451_84278_18.jpg: 2020-04-11 Ok
T24 ges_65451_84279_18.jpg: 2020-04-11 Ok
T25 ges_65451_84280_18.jpg: 2020-04-11 Ok
T39 ges_65453_84268_18.jpg: 2020-04-11 Ok
T41 ges_65453_84270_18.jpg: 2020-04-11 Ok
T42 ges_65453_84271_18.jpg: 2020-04-11 Ok
T43 ges_65453_84272_18.jpg: 2020-04-11 Ok
T40 ges_65453_84269_18.jpg: 2020-04-11 Ok
T45 ges_65453_84274_18.jpg: 2020-04-11 Ok
T47 ges_65453_84276_18.jpg: 2020-04-11 Ok
T48 ges_65453_84277_18.jpg: 2020-04-11 Ok
T46 ges_65453_84275_18.jpg: 2020-04-11 Ok
T49 ges_65453_84278_18.jpg: 2020-04-11 Ok
T50 ges_65453_84279_18.jpg: 2020-04-11 Ok
T51 ges_65453_84280_18.jpg: 2020-04-11 Ok
T52 ges_65454_84268_18.jpg: 2020-04-11 Ok
T54 ges_65454_84270_18.jpg: 2020-04-11 Ok
T53 ges_65454_84269_18.jpg: 2020-04-11 Ok
T55 ges_65454_84271_18.jpg: 2020-04-11 Ok
T56 ges_65454_84272_18.jpg: 2020-04-11 Ok
T59 ges_65454_84275_18.jpg: 2020-04-11 Ok
T58 ges_65454_84274_18.jpg: 2020-04-11 Ok
T60 ges_65454_84276_18.jpg: 2020-04-11 Ok
T61 ges_65454_84277_18.jpg: 2020-04-11 Ok
T62 ges_65454_84278_18.jpg: 2020-04-11 Ok
T63 ges_65454_84279_18.jpg: 2020-04-11 Ok
T64 ges_65454_84280_18.jpg: 2020-04-11 Ok
T65 ges_65455_84268_18.jpg: 2020-04-11 Ok
T66 ges_65455_84269_18.jpg: 2020-04-11 Ok
T68 ges_65455_84271_18.jpg: 2020-04-11 Ok
T67 ges_65455_84270_18.jpg: 2020-04-11 Ok
T69 ges_65455_84272_18.jpg: 2020-04-11 Ok
T70 ges_65455_84273_18.jpg: 2020-04-11 Ok
T71 ges_65455_84274_18.jpg: 2020-04-11 Ok
T72 ges_65455_84275_18.jpg: 2020-04-11 Ok
T73 ges_65455_84276_18.jpg: 2020-04-11 Ok
T74 ges_65455_84277_18.jpg: 2020-04-11 Ok
T75 ges_65455_84278_18.jpg: 2020-04-11 Ok
T76 ges_65455_84279_18.jpg: 2020-04-11 Ok
T77 ges_65455_84280_18.jpg: 2020-04-11 Ok
T91 ges_65457_84268_18.jpg: 2020-04-11 Ok
T92 ges_65457_84269_18.jpg: 2020-04-11 Ok
T94 ges_65457_84271_18.jpg: 2020-04-11 Ok
T93 ges_65457_84270_18.jpg: 2020-04-11 Ok
T95 ges_65457_84272_18.jpg: 2020-04-11 Ok
T97 ges_65457_84274_18.jpg: 2020-04-11 Ok
T96 ges_65457_84273_18.jpg: 2020-04-11 Ok
T98 ges_65457_84275_18.jpg: 2020-04-11 Ok
T100 ges_65457_84277_18.jpg: 2020-04-11 Ok
T99 ges_65457_84276_18.jpg: 2020-04-11 Ok
T101 ges_65457_84278_18.jpg: 2020-04-11 Ok
T102 ges_65457_84279_18.jpg: 2020-04-11 Ok
T104 ges_65458_84268_18.jpg: 2020-04-11 Ok
T103 ges_65457_84280_18.jpg: 2020-04-11 Ok
T106 ges_65458_84270_18.jpg: 2020-04-11 Ok
T105 ges_65458_84269_18.jpg: 2020-04-11 Ok
T107 ges_65458_84271_18.jpg: 2020-04-11 Ok
T108 ges_65458_84272_18.jpg: 2020-04-11 Ok
T109 ges_65458_84273_18.jpg: 2020-04-11 Ok
T111 ges_65458_84275_18.jpg: 2020-04-11 Ok
T110 ges_65458_84274_18.jpg: 2020-04-11 Ok
T112 ges_65458_84276_18.jpg: 2020-04-11 Ok
T114 ges_65458_84278_18.jpg: 2020-04-11 Ok
T116 ges_65458_84280_18.jpg: 2020-04-11 Ok
T117 ges_65459_84268_18.jpg: 2020-04-11 Ok
T119 ges_65459_84270_18.jpg: 2020-04-11 Ok
T118 ges_65459_84269_18.jpg: 2020-04-11 Ok
T120 ges_65459_84271_18.jpg: 2020-04-11 Ok
T122 ges_65459_84273_18.jpg: 2020-04-11 Ok
T121 ges_65459_84272_18.jpg: 2020-04-11 Ok
T123 ges_65459_84274_18.jpg: 2020-04-11 Ok
T144 ges_65461_84269_18.jpg: 2020-04-11 Ok
T143 ges_65461_84268_18.jpg: 2020-04-11 Ok
